region,variable,Agricultural TFP Index,Gross agricultural production in $1000,Agricultural land in 1000 hectares,Agricultural labor in 1000 persons,Agricultural capital stock in $1000,Farm machinery in Metric horsepower 1000 CV,Fertilizer in metric tonnes
Nigeria,2014,99.0,53822413.87,52552.41844,19218.284,147226.7214,786.6846685,558090.7555
Benin,2014,108.0,3690445.872,3484.899513,1672.88,923.358786,9.924716613,34313.86267
C?te d'Ivoire,2014,97.0,9948419.82,10653.99686,3135.343,6813.71483,392.0199224,148851.1032
Ghana,2014,98.0,11480566.84,7365.345294,4336.642,15380.64916,93.6243607,93924.68007
Guinea,2014,100.0,3637370.76,5337.457084,2351.231,1539.177319,281.742273,14830.51836
Guinea-Bissau,2014,100.0,439416.0,612.4651908,428.448,171.904252,1.056232787,7941.850752
Liberia,2014,103.0,528453.9641,584.9708286,817.658,441.599378,17.2694895,4940.4525
Sierra Leone,2014,108.0,1798095.256,1839.025103,1287.224,1015.566753,5.02206021,4266.766621
Togo,2014,103.0,1343315.752,2305.185974,978.837,576.35868,4.553055957,19554.07902
Cameroon,2014,100.0,8893119.384,6499.302416,4499.515,3470.254864,20.44792263,87900.26901
Central African Republic,2014,100.0,1409096.698,1011.933704,1238.884,723.39506,2.091340833,20664.22702
Congo DR,2014,100.0,10648684.58,12231.57687,16141.257,6461.882433,119.2748972,37794.67857
Congo Republic,2014,97.0,603978.6444,527.4448533,601.245,884.289627,40.76604655,2950.3277
Equatorial Guinea,2014,98.0,79782.45128,92.78524397,150.247,289.276979,9.94066101,146.8530947
Gabon,2014,103.0,473241.3538,304.4395364,158.516,821.261552,82.45198843,7754.097285
Sao Tome and Principe,2014,116.0,35318.0,59.24347632,12.305,40.067939,5.23527638,528.0154096
Burundi,2014,107.0,1860654.219,1342.706294,3564.289,388.921434,9.550524569,23064.82533
Kenya,2014,103.0,11430671.58,6264.061991,11257.681,7863.391295,811.5023034,312964.0349
Rwanda,2014,103.0,2591525.048,2142.206945,3729.792,869.590959,2.351384558,32203.73069
Tanzania,2014,93.0,15924155.95,18425.76942,15409.82,4964.258579,1051.423157,186938.1286
Uganda,2014,103.0,8757492.768,6925.626497,9624.097,3794.87646,286.621049,78876.05131
Djibouti,2014,129.0,63546.0,39.77910365,97.166,13.481385,0.24,630.6091933
Eritrea,2014,105.0,392443.0,753.5966161,922.495,363.627827,26.00667074,7051.125168
Ethiopia,2014,99.0,17761719.91,16989.89448,31010.364,8902.474361,158.6840001,514791.0898
Somalia,2014,100.0,2348989.0,1582.229012,2353.282,638.659878,54.84,20637.63214
South Sudan,2014,97.0,4314846.602,2610.493415,2349.243,2859.494988,0.04,50346.99567
Sudan,2014,97.0,13969357.51,20950.42419,3749.101,9257.642617,1129.911913,241930.8863
Burkina Faso,2014,111.0,4334770.462,6912.22324,1805.669,1377.98491,45.86451485,149872.3439
Cabo Verde,2014,100.0,59459.0,84.98620327,28.438,174.357404,2.229455681,1402.476367
Chad,2014,100.0,5033157.805,5902.332175,3742.94,1226.893278,10.37666834,39801.77257
Gambia,2014,93.0,195020.8626,361.2965324,179.433,143.721914,2.625251637,1127.797838
Mali,2014,102.0,6926039.357,7936.138194,3921.771,1491.002423,82.93191836,163237.9427
Mauritania,2014,101.0,843286.0,1092.210488,319.524,963.791825,18.33073804,8740.997195
