region,Year,Agricultural TFP Index,Gross agricultural production in $1000,Agricultural land in 1000 hectares,Agricultural labor in 1000 persons,Agricultural capital stock in $1000,Farm machinery in Metric horsepower 1000 CV,Fertilizer in metric tonnes,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7
Nigeria,2014,99.0,53822413.87,52552.41844,19218.284,147226.7214,786.6846685,558090.7555,1.1432155489127978,-0.19997327271412116,-0.9730773773567792,0.10453706548231337,-0.7825296565977268,-0.0865647042804708,0.24835256630082359
Benin,2014,108.0,3690445.872,3484.899513,1672.88,923.358786,9.924716613,34313.86267,-0.5012653815578956,0.7041934812106291,0.119226720012921,0.06054532004025716,0.010624840164472548,0.02478260951706196,0.008015730461992257
C?te d'Ivoire,2014,97.0,9948419.82,10653.99686,3135.343,6813.71483,392.0199224,148851.1032,-0.3591727381463524,-0.40219000591378573,-0.08771531522433987,0.08273261582913302,0.003585821772625947,0.0765341868898903,0.04493132741832197
Ghana,2014,98.0,11480566.84,7365.345294,4336.642,15380.64916,93.6243607,93924.68007,-0.33841035065847735,-0.3061019486691818,-0.002144865358566207,0.0992918739339134,-0.0551211538540691,-0.008390466398777524,0.060760924710036086
Guinea,2014,100.0,3637370.76,5337.457084,2351.231,1539.177319,281.742273,14830.51836,-0.48595899784764046,-0.10182418589290188,0.041297858667158946,0.08916350025299659,0.004948839535608667,0.045999413062979354,0.008202086542619454
Guinea-Bissau,2014,100.0,439416.0,612.4651908,428.448,171.904252,1.056232787,7941.850752,-0.5933649562389889,-0.10438237515338424,0.14286279853813466,0.02731624280209239,0.01987442562168182,0.008701497761114963,-0.01904525925395363
Liberia,2014,103.0,528453.9641,584.9708286,817.658,441.599378,17.2694895,4940.4525,-0.5788213624892423,0.1980837439748443,0.1585386132841918,0.04021081347259231,0.012776430517801331,0.00297408305397098,-0.01750289770193358
Sierra Leone,2014,108.0,1798095.256,1839.025103,1287.224,1015.566753,5.02206021,4266.766621,-0.5374997009020129,0.703218959134827,0.1547481999378278,0.050923609931403845,0.0043927921986999414,0.01026073822739464,-0.006305015179840624
Togo,2014,103.0,1343315.752,2305.185974,978.837,576.35868,4.553055957,19554.07902,-0.5516822418795964,0.19936593434263017,0.1192363351971394,0.04321191050444751,0.013776974540047053,0.021798071282168527,-0.012572473381357419
Cameroon,2014,100.0,8893119.384,6499.302416,4499.515,3470.254864,20.44792263,87900.26901,-0.39701832570696893,-0.10278699378719298,0.024338804891941825,0.15251702126330566,0.003904151184487474,0.022297219515284107,0.05210215284614029
Central African Republic,2014,100.0,1409096.698,1011.933704,1238.884,723.39506,2.091340833,20664.22702,-0.5668087093878713,-0.10461000507096056,0.13659523520288588,0.05468000995163531,0.015359614766906064,0.0024619870109535242,-0.010517863625614346
Congo DR,2014,100.0,10648684.58,12231.57687,16141.257,6461.882433,119.2748972,37794.67857,-0.11359353243518282,-0.10316289494139873,-0.08088230781871916,0.5987362544194149,-0.1006152008120362,-0.022166778769228776,0.08865498566918174
Congo Republic,2014,97.0,603978.6444,527.4448533,601.245,884.289627,40.76604655,2950.3277,-0.5948504012582659,-0.4073775024794157,0.1317908516243009,0.03291558465955543,0.017120084491478574,0.0047420710312357315,-0.017402616398864004
Equatorial Guinea,2014,98.0,79782.45128,92.78524397,150.247,289.276979,9.94066101,146.8530947,-0.6103802896127347,-0.3064866114121492,0.1447993731014218,0.018116458529131334,0.02124320314595834,0.005632109128260122,-0.02187923247512459
Gabon,2014,103.0,473241.3538,304.4395364,158.516,821.261552,82.45198843,7754.097285,-0.5919321441119111,0.19802655416008685,0.1638813159961854,0.012903466459957453,0.015505353127501132,0.004543963736316463,-0.019973096835848244
Sao Tome and Principe,2014,116.0,35318.0,59.24347632,12.305,40.067939,5.23527638,528.0154096,-0.573888015390524,1.5098171996864416,0.22862499387118917,0.00484103500014975,0.007300629505189489,0.0020045824182536144,-0.022691983449699932
Burundi,2014,107.0,1860654.219,1342.706294,3564.289,388.921434,9.550524569,23064.82533,-0.505101539862176,0.6010372401928626,0.16735463256267472,0.14327121157820297,-0.003695209487330428,-0.01699224276141273,-0.0018551663028807774
Kenya,2014,103.0,11430671.58,6264.061991,11257.681,7863.391295,811.5023034,312964.0349,-0.22239760579692514,0.19540418746693705,0.06730003494208506,0.3910623845909741,-0.034589919366754915,-0.07492843522525598,0.06022444480098476
Rwanda,2014,103.0,2591525.048,2142.206945,3729.792,869.590959,2.351384558,32203.73069,-0.4964076996859283,0.1978667396511547,0.13120671314383828,0.14784110329503547,-0.0012780140378581262,-0.009891106304764129,0.0033164223998428497
Tanzania,2014,93.0,15924155.95,18425.76942,15409.82,4964.258579,1051.423157,186938.1286,-0.038406175964901035,-0.8047913412863605,-0.2497369410808501,0.5589335333118047,-0.05076993189300943,0.0646066660227156,0.11673853203638981
Uganda,2014,103.0,8757492.768,6925.626497,9624.097,3794.87646,286.621049,78876.05131,-0.29427167515134334,0.19813021685934668,0.04152005930604012,0.35329797041369065,-0.038415116846408366,-0.02098443347073654,0.06074805278610867
Djibouti,2014,129.0,63546.0,39.77910365,97.166,13.481385,0.24,630.6091933,-0.5433828817770908,2.8214891642238134,0.28955843678469,0.001891492631373568,-0.004784599168124502,-0.0029210148972843067,-0.022499585771284115
Eritrea,2014,105.0,392443.0,753.5966161,922.495,363.627827,26.00667074,7051.125168,-0.5714010934567231,0.40002098708676503,0.16394236119328195,0.04387805841681367,0.010383486273394419,0.003906965814294075,-0.018912520666573687
Ethiopia,2014,99.0,17761719.91,16989.89448,31010.364,8902.474361,158.6840001,514791.0898,0.2840526671395691,-0.20789751359009292,-0.15327775244409095,1.1480597360987177,-0.13694660342764162,-0.1496413135684807,0.1302637285745532
Somalia,2014,100.0,2348989.0,1582.229012,2353.282,638.659878,54.84,20637.63214,-0.5363845090271954,-0.10470558313750457,0.12724204054690372,0.09661436453917689,0.010531475326161287,-0.0009895300836761907,0.00014934205154383244
South Sudan,2014,97.0,4314846.602,2610.493415,2349.243,2859.494988,0.04,50346.99567,-0.5119704868732559,-0.40718295714135616,0.09125931245560158,0.08435951758580898,0.009374768879154853,0.0014755106469972617,0.012397082981408491
Sudan,2014,97.0,13969357.51,20950.42419,3749.101,9257.642617,1129.911913,241930.8863,-0.19778617317905917,-0.3947679756396798,-0.32062080841096413,0.0827137139066226,-0.00023008393196743718,0.19233748287356153,0.06155799561419342
Burkina Faso,2014,111.0,4334770.462,6912.22324,1805.669,1377.98491,45.86451485,149872.3439,-0.4402986959214469,1.0095334441956212,0.05346802239625519,0.05698955793137226,0.018233964936266098,0.05796505849120014,-0.0010651463734869108
Cabo Verde,2014,100.0,59459.0,84.98620327,28.438,174.357404,2.229455681,1402.476367,-0.6085676789393815,-0.10461867490543846,0.15390076288372959,0.012731813245865298,0.02106342391462811,0.006392834156634019,-0.0223338433926174
Chad,2014,100.0,5033157.805,5902.332175,3742.94,1226.893278,10.37666834,39801.77257,-0.448286416701099,-0.10199530611607008,0.03162156159492878,0.14123000772555402,0.004487083499753327,0.03645005291888738,0.022085511755576947
Gambia,2014,93.0,195020.8626,361.2965324,179.433,143.721914,2.625251637,1127.797838,-0.6180880746938832,-0.8107647761915282,0.1154536515245988,0.021822422300502922,0.02667839090281537,0.010676835262436207,-0.0207618642425115
Mali,2014,102.0,6926039.357,7936.138194,3921.771,1491.002423,82.93191836,163237.9427,-0.39744829051299607,0.1010220475754239,-0.003904781976785665,0.13776809986538213,0.019995409878390956,0.05028529918379161,0.02551647236641949
Mauritania,2014,101.0,843286.0,1092.210488,319.524,963.791825,18.33073804,8740.997195,-0.5828805127983164,-0.0032122530474132135,0.13650475384747315,0.018621717036567315,0.015989942219645184,0.01266657294944397,-0.016925301421273086
Niger,2014,86.0,4554373.698,18401.27066,5112.915,1251.034474,11.11432681,43682.56829,-0.32268054943838637,-1.504158172127977,-0.3261773911658856,0.1994842973037094,-0.004837657873857925,0.19245621643665312,0.009362051079771089
Senegal,2014,86.0,2273482.901,2847.311905,1175.032,1639.175302,44.01863493,77797.6401,-0.5668986477224546,-1.5159576291277177,0.029500648551866897,0.05157027116117583,0.03155174453685965,0.023799463273076433,-0.010729078844204914
Angola,2014,100.0,5538891.176,5609.687031,5230.7,9669.048748,817.0078537,94504.64682,-0.38440576771505974,-0.10459393914163545,0.046926772280315304,0.16813452690152766,-0.04712299647523322,-0.010565127557918741,0.013027513464917742
Comoros,2014,103.0,94696.0,105.221016,71.311,250.915898,0.255979803,162.0361278,-0.6005201198900482,0.1980711751604526,0.1674646227166119,0.012646330449587892,0.017530860439736107,0.005121547168727956,-0.02195859015736211
