region,Year,Agricultural TFP Index,Gross agricultural production in $1000,Agricultural land in 1000 hectares,Agricultural labor in 1000 persons,Agricultural capital stock in $1000,Farm machinery in Metric horsepower 1000 CV,Fertilizer in metric tonnes,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7
Madagascar,2014,102.0,5102547.094,4085.204051,7912.045,1715.414554,35.50037003,68280.92045,-0.3849277091478908,0.09641530069804398,0.0939574617252417,0.3033648088052936,-0.023513408906508777,-0.03177452710347672,0.02914642916133559
Malawi,2014,106.0,7011799.728,4468.702061,5022.361,775.334471,69.25990288,186178.9344,-0.40659578485662135,0.5012307878428376,0.0992805847185952,0.18212225456789788,0.01938026644017947,-0.006449425794326299,0.029992764085108717
Mauritius,2014,102.0,343841.7906,75.72856172,39.326,955.285845,9.614515766,32223.16002,-0.5970687064608288,0.09696646342112573,0.16382800034762324,0.007968272537168383,0.019492490092408766,0.000499677636626028,-0.023740735783652253
Mozambique,2014,104.0,3605114.451,6358.996308,8043.367,1410.048577,260.9874727,75963.62824,-0.3606410879412155,0.3003568019164854,0.04903425144880019,0.31130347669325686,-0.03039663636981991,-0.00026265470180606955,0.012344577727819162
Zambia,2014,105.0,3446101.276,2704.557921,2995.329,2012.980554,265.0377069,208741.1082,-0.47429090281592656,0.39986165890722913,0.12798181694559138,0.1066407737339628,0.02022035446158029,-0.011227104818644341,-0.010492316287837552
Zimbabwe,2014,103.0,2322668.495,2615.730388,4129.789,8545.951705,1142.072034,116538.062,-0.4463453484361327,0.19647903591674906,0.12658928042170167,0.13497703868604155,-0.04039079343461259,-0.03285302334427822,-0.018700304372279535
Botswana,2014,90.0,453987.0,606.5396531,176.374,190.467436,159.5955403,26168.801,-0.6180382447244709,-1.1133787949559975,0.09691051747707798,0.02153414859773437,0.03286924416121215,0.013701918335647786,-0.02137087956724595
Eswatini,2014,99.0,462087.0085,244.7644349,36.078,628.912127,62.83991366,1863.190221,-0.6050513163187534,-0.2055379397236401,0.14634188023653896,0.010879163368211962,0.020376332219502746,0.007094104342709788,-0.019316806660819533
Lesotho,2014,99.0,273694.6279,238.4731725,328.065,65.71985,62.06025343,2576.938543,-0.6028606913363865,-0.20554196739605854,0.14693851254569415,0.02482913247987389,0.021172722283145762,0.006308297761879463,-0.01991407578220917
Namibia,2014,97.0,530116.8996,1169.468425,209.124,985.648614,179.3838934,10442.72742,-0.5937126891207717,-0.40671497384410604,0.11631847918392683,0.016743122517102412,0.01928882330237234,0.017051145614837677,-0.020599658157955378
South Africa,2014,106.0,21812878.11,14953.48855,726.817,21136.23092,3688.950667,853737.5665,-0.15167821843795998,0.504704745366027,-0.12052500425103052,-0.11754690304895506,0.050434879062122344,0.06470219343016533,0.05337495983812252
Belize,2014,110.0,306227.7933,113.6068975,25.368,149.158278,61.01226403,30155.83791,-0.5820379106065993,0.9043395339821622,0.20021037009635279,0.006395170804339808,0.01661946083104217,0.002076866150159256,-0.0232722259489043
Costa Rica,2014,104.0,4536500.158,656.3886,237.796,7592.98018,295.6353431,244130.6677,-0.5186966848041968,0.2971622076723016,0.16678960965607761,-0.024327350361572953,0.01728675487664362,-0.03430476593491653,-0.014191730288728764
El Salvador,2014,106.0,1580683.891,914.5324324,479.529,2719.795155,172.4616548,119175.0733,-0.5506454050126223,0.5005091087508032,0.16605238192261684,0.01165758721393956,0.01675923114943076,-0.006144293766116189,-0.02322804741318821
Guatemala,2014,97.0,8228957.972,2252.907457,1905.263,10533.9844,293.9006197,448253.0085,-0.4411398653933803,-0.40968846591407293,0.1053506878128681,0.019941795030522094,0.03151587827374566,-0.05494242523492764,-0.0013855981236871406
Honduras,2014,97.0,3129404.171,1668.569632,1047.044,3163.928443,239.69175,177332.0528,-0.5381187955291133,-0.4075694248992776,0.11021902740934254,0.03135571623090678,0.03007209048140685,-0.005536693125880026,-0.014447931999913602
Mexico,2014,99.0,56581107.33,31047.58735,6887.931,13942.85722,10815.28,2606662.196,0.43922636496288076,-0.1984044488457897,-0.43583546793334066,0.013171731868122954,0.37364583160303827,0.1373214604815186,0.19742681204399012
Nicaragua,2014,107.0,2638904.593,2007.946411,833.193,2133.467849,163.0482375,113919.5924,-0.5277092121036047,0.6021660658179463,0.14699170252302649,0.024407312204669834,0.01850817139927931,0.0059412706380123905,-0.012203781430558744
Panama,2014,104.0,1516434.66,814.2999714,277.028,1855.972286,457.4376779,49205.5394,-0.568219122942587,0.29883595944295044,0.1600715803719967,0.009524614999675662,0.01560978311804856,0.004724990692438178,-0.016481437356751324
Bahamas,2014,100.0,52041.76919,12.68557306,4.541,222.110727,4.741500763,1957.182458,-0.60957724397043,-0.10468031539996105,0.15555721126813798,0.0116450588839049,0.02106081018636484,0.0054858009237615,-0.022507624925733546
Cuba,2014,98.0,4645990.365,3997.070743,939.118,3044.219192,3052.08,217770.5607,-0.4917065495905372,-0.30573286322822035,0.07632690497366444,0.02006985433464043,0.03630834286271333,0.039721572339381575,-0.011665194738197476
Dominican Republic,2014,98.0,4486939.158,1382.831737,462.041,6074.246238,79.97675809,170273.3328,-0.5332620830591646,-0.3072999957881334,0.12111636470518344,-0.005288095532491021,0.019840363625742673,-0.01601272153199194,-0.004948181432990044
Haiti,2014,102.0,2083316.386,1425.314993,1223.644,1488.534655,6.196814292,23126.42637,-0.5517971875753787,0.09733101293933974,0.13694434450436171,0.04861888386867809,0.011215181077644779,0.003994903551517829,-0.005724120970386241
Jamaica,2014,96.0,785098.5548,241.0379528,219.112,764.639259,121.5083286,20341.29483,-0.6046814067656917,-0.5084303676132458,0.13368838287690749,0.017804380892509585,0.024406536793613858,0.004505077640562282,-0.017974919099000217
Lesser Antilles,2014,98.0,456966.509,131.9503274,70.139,254.401868,141.6789554,5503.551172,-0.6086814629830486,-0.3065202754905594,0.1448667440295897,0.013912500601876493,0.023746876675060542,0.007142868888028436,-0.019255337379367764
Puerto Rico (USA),2014,101.0,397938.843,95.32713683,12.425,1510.177892,123.8644032,19427.72255,-0.5979868162057392,-0.004026135298937885,0.15932885663883078,0.0056354171078636705,0.015718087366503916,0.0008992684707073379,-0.022841840248988124
Trinidad and Tobago,2014,127.0,192473.409,51.59056262,23.854,35.95334,179.0429359,17245.27313,-0.5462273118017156,2.6196270684623784,0.28094816213815316,-0.0009752352002031047,-0.00018100167898921343,-0.0016794504411650397,-0.023454868749519697
French Guiana (France),2014,99.0,46698.01042,22.51939404,12.0,30.94727091,18.512,141.8940796,-0.6124062753855187,-0.20554724685271733,0.15077310434507715,0.013137620351908649,0.02276635968154343,0.006729302599287108,-0.02214373970871495
Guyana,2014,87.0,561199.4998,562.209977,44.648,493.293482,150.8070715,29056.19878,-0.6257390776042391,-1.416135227695253,0.08383135931336547,0.016413547347398007,0.035479001911507026,0.013861610646186441,-0.021150401467486132
Suriname,2014,103.0,209049.1916,112.8292616,14.599,663.926615,46.64375421,14557.52857,-0.5979698440724655,0.19798607194396367,0.16754458085059476,0.008283117400399852,0.017684720996678928,0.0035155995035955215,-0.023043426295124354
Venezuela,2014,99.0,8936054.425,4502.414033,915.19,5922.018833,2071.045609,920681.7183,-0.3957598960913654,-0.20597914934584666,0.0695523604662773,-0.02055072817339361,0.12394811977047154,-0.021894596842923206,-0.044889436151653986
Bolivia,2014,88.0,6038811.991,5962.342129,1549.272,4113.736785,300.9607273,133621.9711,-0.4888221215926326,-1.3126966170311598,-0.02777582735644656,0.045065688814649826,0.028666160264412592,0.04623743241710852,0.013858417553896666
Colombia,2014,100.0,22477389.5,6612.229832,3631.784,14492.70659,939.3750414,1212205.401,-0.20358073729655818,-0.1077477942414865,0.04231025472435727,0.015863303494203444,0.13333574683631935,-0.09036162386503462,0.04934152175438549
Ecuador,2014,97.0,11454925.91,4011.086224,1760.118,8851.677122,670.5929252,468271.0382,-0.4117068417788029,-0.408459573599289,0.06960507961641277,0.010771302378381219,0.05326792877485757,-0.026499501133835954,0.02661016077685698
Peru,2014,102.0,14960589.26,8577.847458,4517.021,9502.990428,557.336546,572035.977,-0.27417892435234975,0.09821666843097726,-0.0047053001819099,0.10254651771498897,0.04627895519911294,-0.007640270145884809,0.050174257177231514
Brazil,2014,96.0,223517905.1,74049.61719,10039.0,212591.9922,43083.61111,15767131.77,3.751951898792207,-0.5471775131930452,-1.0703180624100468,-1.3398270443390938,1.3597786002092334,-0.876506807155712,0.10782674777958548
Argentina,2014,91.0,65685576.2,43652.94653,1073.9975,58704.55361,10906.66853,1658388.282,0.5796205893586943,-0.9997816808543404,-0.7731122288047834,-0.3676286722211718,0.05158767163338578,0.2611256765385006,0.30509971813558306
Chile,2014,103.0,16689949.12,3200.546209,764.722,14540.90724,2220.412719,541030.0476,-0.3660682502321986,0.19435207238815047,0.12913748684027632,-0.06650145174576111,0.04671777319917638,-0.049643313633245235,0.057693105112008765
Paraguay,2014,98.0,8992799.64,5385.025835,666.016,3702.460214,1220.169964,437209.6971,-0.4454805150441566,-0.3048507511366828,0.038901236320709416,-0.00917399913654632,0.07674865139213162,0.027831001361438908,0.008065312705511783
Uruguay,2014,104.0,6401143.796,2885.699793,149.486,5490.874128,1523.371877,362101.6595,-0.4798552905260383,0.29867934477653907,0.12279794323988025,-0.029682819696418932,0.04848079342897318,0.0012109688540948938,-0.010530389496820346
Japan,2014,98.0,29165157.82,5847.365177,2300.0,152705.1265,75731.91424,1212037.049,0.5689777864051709,-0.35644985498278803,0.4495521575495489,-0.5640140334150169,-0.7058321785165775,-0.11203744766015442,-0.19479058500776097
"Korea, Republic",2014,100.0,17266869.04,2101.271548,1435.413,58090.86259,19726.22389,850717.446,-0.12119700904572747,-0.12251817363357052,0.2355572397002499,-0.20624492638232683,-0.1820267148789044,-0.13510185845418296,-0.050886888840365824
Taiwan,2014,105.0,8315395.222,1005.332512,549.0,8929.682988,1153.324,324675.5653,-0.47348581116568783,0.39708745470397355,0.17332837252338437,-0.029084119761425168,0.027738345112160757,-0.04139748882117465,0.010494998404345405
China,2014,99.0,948203223.9,191960.8117,227908.856,1082768.326,1469158.396,54922338.85,24.274501910478108,-0.973564828902241,5.125073074006278,0.7149408077702103,0.8720395733459448,1.0789428566089845,-0.42586763706787994
"Korea, DPR",2014,101.0,5893623.164,3372.443193,7045.99,3905.7671,2568.0,248733.3015,-0.37342264763848304,-0.00623715015728718,0.11852928045835642,0.2541346270696985,-0.004866523111440595,-0.037478499263104675,0.009691560786657633
Mongolia,2014,80.0,1652882.0,7723.411893,337.968,3085.746954,199.0660363,142417.0473,-0.5343304360833463,-2.117019348444624,-0.11556069257177157,0.014556095179295804,0.03617671431388476,0.09003232700999952,-0.031004239974288864
Brunei Darussalam,2014,113.0,68503.58626,10.82631819,1.046,230.415001,2.635962886,4370.185254,-0.5801687863300402,1.207035240372868,0.21586575257928073,0.005034198265343612,0.009627771113159963,0.0013910732699696925,-0.02290318465111426
Cambodia,2014,95.0,6615955.928,4211.028498,3837.23,2778.322816,876.4427552,164158.4519,-0.448686227468848,-0.6089274602156616,0.05529468673304833,0.13489841396793115,0.021260299146544984,0.004706935407123997,0.022669566264475704
Indonesia,2014,98.0,103407802.3,50883.90833,39904.349,166281.9174,4265.621801,6825668.327,2.3574506909321684,-0.32944995282965334,-0.8049045663390837,0.5659257263653842,-0.06640662310016325,-0.8265353334624601,0.09185743540566808
Laos,2014,89.0,4470041.99,2053.608249,2270.039,1874.263418,143.6238467,55026.29599,-0.5391849993476763,-1.2147688969771866,0.0681196467007683,0.08809917231147453,0.02445550650729819,0.0011742724612254206,0.014786176440778136
Malaysia,2014,97.0,17953061.47,8100.978094,1716.975,62872.68822,3524.776742,2210713.618,0.019798000904663993,-0.41736526404769525,-0.0035464610275067615,-0.24248801763325095,-0.022848750626591037,-0.2691385683334628,-0.16282908366227766
Myanmar,2014,98.0,33281467.98,13798.30981,11214.60209,8958.928412,4724.149437,598651.8929,-0.0016839136862779392,-0.3075858876055837,-0.08520045785889749,0.3223127328625613,0.05975543368676682,0.006827474364684562,0.22295343669336956
Philippines,2014,99.0,34840249.18,12107.7017,11788.555,41155.7301,42746.0761,1085144.328,0.29904953813907115,-0.22633522764254338,0.16295966357826214,0.19860582261428036,-0.09475783107131562,0.06841413675226134,0.08027099312859126
Thailand,2014,104.0,50313283.97,25422.28056,12732.721,69697.17451,35573.82291,2725547.026,0.7653282826841075,0.28292468868765314,-0.14385989500820567,0.05240656630910452,-0.017929818498458084,-0.038105430223731904,0.02941924883557843
Timor-Leste,2014,90.0,206611.0144,260.6747452,202.005,406.408833,15.41566087,5562.806982,-0.6240705750304889,-1.1136198003306663,0.10406172935908313,0.02315289171491952,0.02839040994520676,0.008871147146079778,-0.021239701775537956
Vietnam,2014,102.0,57302278.63,13174.84673,25164.538,23749.84145,15907.56156,3040037.665,0.6720302733466271,0.0775426360231051,0.07176776061678487,0.6915954773560535,0.25759407472004175,-0.30798327535370396,0.19098343841522986
Fiji,2014,96.0,237373.2993,262.4353509,72.067,276.186371,357.2704964,9079.422375,-0.6116352048152811,-0.5082518369832766,0.13336769895172854,0.015185210187434657,0.024902953593854114,0.010677148745689152,-0.022202397906423987
New Caledonia (France),2014,91.0,47133.4754,25.74152797,2.456,182.905457,81.38,2267.965887,-0.6295296134211447,-1.0128005637448254,0.11392140313269987,0.016047708523794432,0.029412094260176106,0.008965319565809364,-0.022497398627813543
Papua New Guinea,2014,100.0,3625749.506,1010.747923,1421.343,3257.873954,91.11350998,47092.67493,-0.5408306780819061,-0.10548921591619756,0.14037973672269538,0.04699175764825574,0.009533916700320545,-0.011560649252698927,0.00499981206069128
Solomon Islands,2014,96.0,131674.0223,103.9525441,119.316,268.160264,0.619883969,511.9939785,-0.615118167071361,-0.5082698389926715,0.13520924663297187,0.01780250462046591,0.023601493605873977,0.006616035702760268,-0.02140876612456365
Vanuatu,2014,104.0,107154.4261,147.3758568,69.13,200.502042,4.299487288,1541.19487,-0.5978461975076068,0.29901396192410357,0.171136453029241,0.012162450912434715,0.017113598235366432,0.005496796833899309,-0.021993061118802035
Micronesia,2014,99.0,61416.67673,75.69911874,37.196,142.21712,8.20533494,709.7331698,-0.6109012651229565,-0.20552825462739185,0.1495395361198057,0.013690789529027836,0.022017459386853466,0.006680374444666286,-0.022169510353724883
Polynesia,2014,104.0,164968.0137,134.0436038,40.397,234.66251,32.9528878,3478.638423,-0.5978152425981024,0.2989882256341668,0.17160966620877466,0.010701850667348606,0.017535218564218556,0.005469366004580307,-0.02178421543925018
Bangladesh,2014,100.0,39947112.64,18310.71859,26021.562,19436.39626,16419.27252,2555614.579,0.5964900704408019,-0.11636162932324978,-0.07677115065731632,0.7953254630494814,0.15611724431488289,-0.18007773504148059,0.0774037518763193
Bhutan,2014,107.0,276486.4567,194.6292582,178.706,234.690269,8.357251279,3426.325932,-0.5875224379407213,0.601681427541833,0.1844257478905943,0.014439669671651133,0.014167447680827975,0.0037873586375716125,-0.020516176380637085
India,2014,102.0,386483042.1,294330.9596,205046.369,498649.5529,287783.9363,27777474.05,13.37414462658361,0.011284987917854268,-4.287914493154099,4.485455810971497,0.0034432377766254905,-0.2970732472212301,-0.1758800045162093
Nepal,2014,100.0,8882185.664,4860.856563,9582.085,3653.286967,1892.680141,221770.0757,-0.30563576099057765,-0.10702960355111446,0.08500280168683563,0.34923663556770523,-0.014971820933054289,-0.04624992395993683,0.04621210098311782
Pakistan,2014,100.0,61515575.46,67072.61787,22949.86,92384.27682,23381.21781,5003835.068,1.6751104197392526,-0.09237398708763357,-1.1721290891090002,0.28507551451635893,0.08503128782736036,0.09249524709733808,-0.1163251141750721
Sri Lanka,2014,91.0,4541040.191,3444.889928,2223.108,11939.11867,1883.779743,380677.25,-0.44930635465306,-1.0142651150874866,0.053681976051174564,0.04037957693614535,0.00375023128336833,-0.02739580230807887,-0.034383526999051575
Armenia,2014,92.0,1899926.12,899.6041127,394.765,479.981017,626.0959026,12176.27039,-0.597786211709736,-0.9118070862158413,0.1040872664868195,0.024721922665598667,0.029932977234272202,0.016353805208503217,-0.007319182795648488
Azerbaijan,2014,102.0,4092247.339,4559.975641,1687.895,6068.659385,942.9623686,33279.97716,-0.47894092222736967,0.09853986028535343,0.07142713072699916,0.044636294389517606,-0.014888229382805738,0.028041813121495604,0.003307124736976437
Georgia,2014,101.0,1157214.776,1224.892072,778.018,1183.281224,1086.527603,47604.7898,-0.5636825653924153,-0.003744231289757303,0.1404957067850542,0.03363759350617144,0.016604513272082073,0.012964323856712272,-0.01940144243668515
Bahrain,2014,84.0,108129.4344,11.1943273,8.072,103.169383,0.201601062,2090.824205,-0.6455991660842875,-1.7190980444471287,0.08148171714462878,0.019857286232998563,0.03643010418115844,0.01053696875075046,-0.021470315114020675
Cyprus,2014,99.0,478309.8025,170.3610378,22.477,1820.110564,481.2617104,29879.00498,-0.5977481033820743,-0.20595431674097428,0.1502948554020343,0.00526289205031388,0.016900128145504012,0.00274440742605809,-0.024193481422741848
Iran,2014,97.0,42339879.9,32778.64276,3907.369,36461.74567,12029.76254,1332303.502,0.305880896355612,-0.39786221825831836,-0.5056795880544738,-0.11284889402985597,0.05047030892547713,0.21815704554158102,0.15626437517654154
Iraq,2014,155.0,5147127.023,11091.60814,1691.088,5014.103075,3628.36563,253727.2906,-0.2591529233524107,5.450958167096432,0.1782667631351787,0.010626054664369184,-0.03278107822218378,0.10281623272831025,-0.0199362882428336
Israel,2014,98.0,4335178.208,831.5854449,38.657,6270.762729,1061.10065,89345.30731,-0.5500943759742667,-0.3078398255199472,0.1380897849898496,-0.02048452752476892,0.010331789038653887,-0.00811582455598681,-0.0005876564012146302
West Bank and Gaza,2014,120.0,735907.0,318.7149081,91.12,1527.407146,238.1228189,861.4346091,-0.5509802269196729,1.9131995359483367,0.24334029347934116,-0.0010230685402815697,-0.003789131644031919,-0.0009841656923165452,-0.018441456130765796
Jordan,2014,87.0,1885975.077,510.3317032,58.432,2543.604271,309.0843842,28146.70432,-0.6115691415469882,-1.4167674535755728,0.08762155497161958,0.006621319925271474,0.027296623843958614,0.005633903582559189,-0.011149601371781283
Kuwait,2014,100.0,569558.4844,48.59584203,43.458,462.614231,3.91648584,13190.9503,-0.6040989313957768,-0.1047950441209063,0.15546670400375695,0.010773043742512292,0.02243482993389189,0.0034794611217430146,-0.018984769357350887
Lebanon,2014,102.0,1777431.165,430.031155,262.007,1701.161024,314.8216536,38530.22712,-0.5778282129038703,0.09674372058096635,0.15943437263812132,0.01027365041940117,0.018329982680811416,0.0005312217801951251,-0.012113505498923326
Oman,2014,104.0,757866.3455,212.8147272,97.742,815.430353,6.690613835,20038.74892,-0.5895804329620182,0.29883960133277887,0.17051231948406007,0.00906044217408295,0.017692111530622962,0.0020616898461332553,-0.01844512438092962
Qatar,2014,75.0,92503.88478,51.28893374,24.239,61.30331371,3.529266305,5322.409429,-0.6650189131727484,-2.6271799998857697,0.03885090569524507,0.024967274931127232,0.04505045055588959,0.013560095930608735,-0.02170441802963826
Saudi Arabia,2014,94.0,4719286.513,10271.95293,622.663,15318.01355,342.3879473,295796.3209,-0.39724443600471465,-0.7049265485818748,-0.10556205087407822,-0.03557358998165402,-0.023236746021093376,0.061270117558318606,-0.034298426901196284
