Partners,date,DairyEggHoney,Cereal,Fish,FruitNut,LiveAnimal,Meat,Vegetables,TotalBalance,Rate Per Million,sub-region
New Zealand,7/1/2018 0:00,0.604161474,-0.7258718,-0.060846663,0.260410985,-0.654760847,-0.149371821,-0.610393565,0.423195211,0,Oceania
New Zealand,8/1/2018 0:00,-2.060394788,-0.835441128,-0.509964983,-0.027021989,-0.607116065,-1.249217435,-0.846737555,-2.017553548,0,Oceania
New Zealand,2/1/2020 0:00,0.309347292,0.872230899,-0.624982279,-1.182045564,0.017754292,0.697715485,1.08238711,-0.008680586,0,Oceania
Australia,7/1/2018 0:00,-0.023699219,0.161009337,0.249024362,1.202270231,-0.939450398,-0.165851452,-0.864903488,0.117806377,0,Oceania
Australia,2/1/2020 0:00,-1.249018579,-0.484113395,-1.484918098,-0.76633469,0.15802666,0.283293959,0.682372579,-0.531424217,0,Oceania
Australia,8/1/2018 0:00,-1.088498706,-0.399834695,0.660819538,0.865420314,-0.050711738,0.243453034,-1.009669309,-0.255420344,0,Oceania
Pakistan,7/1/2018 0:00,-0.727796526,-1.841942119,-1.86761188,0.054986825,-0.236730654,-1.39936958,-0.910456394,-1.809371866,0,Asia
Pakistan,2/1/2020 0:00,-0.262382018,0.014096702,-0.85323641,1.421023489,-1.30206461,0.605132369,1.459672565,0.831337896,0,Asia
Pakistan,8/1/2018 0:00,-0.272783481,-0.787473542,-1.393521343,0.192026564,-1.370534588,-1.304559523,-1.390296659,-1.193835531,0,Asia
India,7/1/2018 0:00,-0.98658758,0.648885761,0.066060104,-1.695107318,0.757967666,1.15987664,1.153650045,0.182451911,0,Asia
Maldives,7/1/2018 0:00,0.421555963,-0.132675651,-0.377558783,0.421925379,0.434814359,0.41852241,0.52809635,0.062428008,0,Asia
Maldives,2/1/2020 0:00,-0.48925969,-1.789132568,0.054977186,-0.853975661,0.274835491,-0.359143577,-0.944666149,-0.597160755,0,Asia
