x,y,z,c,label
-0.654957425,-0.405300415,-0.393738685,m,Niger
-0.677611486,-0.398071632,-0.32210814,m,Niger
-0.66610928,-0.404592607,-0.375188198,m,Niger
-0.656386668,-0.399310559,-0.361456675,m,Niger
-0.664690375,-0.403745076,-0.369874121,m,Niger
-0.673540603,-0.402928306,-0.353062655,m,Niger
-0.667882424,-0.400107588,-0.345551572,m,Niger
-0.665102606,-0.40375254,-0.369348672,m,Niger
-0.652915374,-0.403491277,-0.38095054,m,Niger
-0.64070346,-0.399538149,-0.371399084,m,Niger
-0.670025753,-0.403537396,-0.36255371,m,Niger
-0.667138922,-0.39980654,-0.338595363,m,Niger
-0.670219972,-0.403479059,-0.36158929,m,Niger
-0.673459152,-0.403795674,-0.360470141,m,Niger
-0.65919881,-0.39961213,-0.340747858,m,Niger
-0.66022006,-0.403037552,-0.368699797,m,Niger
-0.653429023,-0.401527755,-0.363426094,m,Niger
-0.671282017,-0.400018242,-0.33576792,m,Niger
-0.671605773,-0.401093228,-0.339711875,m,Niger
-0.656783319,-0.401976466,-0.36349855,m,Niger
-0.690898831,-0.399884716,-0.307593591,m,Niger
-0.683903251,-0.402677417,-0.339193029,m,Niger
-0.725970313,-0.39478092,-0.275164591,m,Niger
-0.657960632,-0.400809333,-0.352178732,m,Niger
-0.707118473,-0.381461122,-0.302492171,m,Niger
-0.710539585,-0.393268045,-0.29399397,m,Niger
-0.707753777,-0.401240539,-0.310325682,m,Niger
-0.62105986,-0.397800465,-0.392677005,m,Niger
-0.620963902,-0.398374363,-0.392659151,m,Niger
-0.620790902,-0.399518077,-0.392571924,m,Niger
-0.620694944,-0.400091975,-0.39255407,m,Niger
-0.620751111,-0.399526665,-0.392680291,m,Niger
-0.620960054,-0.397822006,-0.392948811,m,Niger
-0.339242319,-0.372347336,-0.460442393,c,Pakistan
-0.253441027,-0.402048042,-0.802479483,c,Pakistan
-0.269998651,-0.369139445,-0.508745874,c,Pakistan
-0.295904783,-0.37070025,-0.492271254,c,Pakistan
-0.203911312,-0.385018917,-0.712993719,c,Pakistan
-0.321975467,-0.375532143,-0.507107753,c,Pakistan
-0.295557342,-0.382503602,-0.597321472,c,Pakistan
-0.180602023,-0.369675901,-0.657355926,c,Pakistan
-0.219188084,-0.397303248,-0.798525339,c,Pakistan
-0.242167291,-0.354968939,-0.674696999,c,Pakistan
-0.191316453,-0.398659677,-0.843427388,c,Pakistan
-0.235510773,-0.39817242,-0.792894985,c,Pakistan
-0.229353475,-0.282664527,-0.533354492,c,Pakistan
-0.204089505,-0.399815983,-0.842031242,c,Pakistan
-0.225849079,-0.40092407,-0.826092345,c,Pakistan
-0.640412102,-0.254773538,-0.410048724,c,Pakistan
-0.171439489,-0.395854302,-0.842184612,c,Pakistan
-0.295576711,-0.387664245,-0.636051668,c,Pakistan
-0.625878071,-0.363016096,-0.396585423,c,Pakistan
-0.18024764,-0.378555668,-0.686793184,c,Pakistan
-0.622955087,-0.384668099,-0.39393682,c,Pakistan
-0.275550266,-0.375585365,-0.555971193,c,Pakistan
-0.273208538,-0.379002239,-0.586830651,c,Pakistan
-0.623852179,-0.377836226,-0.394843907,c,Pakistan
-0.253147057,-0.373323747,-0.565047939,c,Pakistan
-0.19949251,-0.383083855,-0.705267229,c,Pakistan
-0.624748619,-0.371004494,-0.395752771,c,Pakistan
-0.199859613,-0.395785295,-0.806634551,c,Pakistan
-0.634277608,-0.299799381,-0.404699732,c,Pakistan
-0.227881607,-0.388606341,-0.715163425,c,Pakistan
-0.630819904,-0.325439107,-0.401553084,c,Pakistan
-0.629042748,-0.338545989,-0.399971721,c,Pakistan
-0.626961994,-0.353931148,-0.398100432,c,Pakistan
-0.640691696,-0.251394067,-0.410962383,c,Pakistan
-0.645637377,-0.214369435,-0.415640385,c,Pakistan
